Partition_Key, Row_Key, Apparent_Temperature, Cloud_Cover, Dew_Point, Humidity, Icon, Local_Time, Ozone, Precip_Accumulation, Precip_Intensity, Precip_Probability, Precip_Type, Pressure, Summary, Temperature, UTC_Time, Visibility, Wind_Bearing, Wind_Speed
CYYZ,29/09/2017 4:00,10.89,0.04,5.29,0.68,clear-night,09/29/2017 00:00,277.82,0,0.033,0.04,rain,1018.83,Clear,10.89,09/29/2017 04:00,16.09,340,7.92
CYYZ,29/09/2017 5:00,10.28,0.04,5.49,0.72,clear-night,09/29/2017 01:00,278.53,0,0.033,0.05,rain,1018.84,Clear,10.28,09/29/2017 05:00,16.09,343,7.34
CYYZ,29/09/2017 6:00,9.16,0.03,5.14,0.73,clear-night,09/29/2017 02:00,279.49,0,0.0254,0.04,rain,1018.92,Clear,9.8,09/29/2017 06:00,16.09,355,6.36
CYYZ,29/09/2017 7:00,9.38,0.03,4.66,0.71,clear-night,09/29/2017 03:00,284.2,0,0.0025,0.02,rain,1018.76,Clear,9.71,09/29/2017 07:00,16.09,0,5.18
CYYZ,29/09/2017 8:00,8.96,0.03,4.4,0.73,clear-night,09/29/2017 04:00,285.3,0,0,0,rain,1018.3,Clear,8.96,09/29/2017 08:00,16.09,5,4.39
CYYZ,29/09/2017 9:00,9.05,0.14,4.1,0.71,clear-night,09/29/2017 05:00,286.92,0,0.0279,0.05,rain,1018.06,Clear,9.05,09/29/2017 09:00,16.09,32,4.33
CYYZ,29/09/2017 10:00,8.72,0.63,4.32,0.72,partly-cloudy-night,09/29/2017 06:00,289.44,0,0.0025,0.02,rain,1018.05,Mostly Cloudy,9.12,09/29/2017 10:00,16.09,64,5.17
CYYZ,29/09/2017 11:00,9.07,0.84,4.02,0.68,partly-cloudy-night,09/29/2017 07:00,292.4,0,0.0025,0.02,rain,1017.61,Mostly Cloudy,9.64,09/29/2017 11:00,16.09,108,6.02
CYYZ,29/09/2017 12:00,10.63,0.61,5.82,0.72,partly-cloudy-day,09/29/2017 08:00,292.93,0,0.0102,0.04,rain,1017.53,Mostly Cloudy,10.63,09/29/2017 12:00,16.09,129,8.82
CYYZ,29/09/2017 13:00,12.43,0.56,7.13,0.7,rain,09/29/2017 09:00,295.87,0,0.127,0.22,rain,1017.31,Drizzle,12.43,09/29/2017 13:00,16.09,141,11.22
CYYZ,29/09/2017 14:00,12.97,0.32,8.87,0.76,rain,09/29/2017 10:00,298.9,0,0.4826,0.42,rain,1016.88,Light Rain,12.97,09/29/2017 14:00,15.95,155,13.58
CYYZ,29/09/2017 15:00,13.31,0.32,9.53,0.78,rain,09/29/2017 11:00,301.34,0,0.5309,0.49,rain,1015.88,Light Rain,13.31,09/29/2017 15:00,15.48,163,15.47
CYYZ,29/09/2017 16:00,13.34,0.66,11.07,0.86,rain,09/29/2017 12:00,303.02,0,0.7341,0.52,rain,1014.93,Light Rain,13.34,09/29/2017 16:00,9.53,171,16.62
CYYZ,29/09/2017 17:00,14.89,0.61,12.13,0.84,rain,09/29/2017 13:00,304.19,0,0.4216,0.48,rain,1014.12,Light Rain,14.89,09/29/2017 17:00,15.9,185,15.06
CYYZ,29/09/2017 18:00,16.67,0.62,12.33,0.76,rain,09/29/2017 14:00,305.22,0,0.4166,0.42,rain,1012.79,Light Rain,16.67,09/29/2017 18:00,14.32,204,11.96
CYYZ,29/09/2017 19:00,16.22,0.29,11.49,0.74,rain,09/29/2017 15:00,306.5,0,0.2108,0.34,rain,1012.15,Drizzle,16.22,09/29/2017 19:00,16.09,227,14.13
CYYZ,29/09/2017 20:00,16.83,0.17,10.39,0.66,rain,09/29/2017 16:00,307.21,0,0.1727,0.33,rain,1011.87,Drizzle,16.83,09/29/2017 20:00,16.09,271,16.54
CYYZ,29/09/2017 21:00,15.5,0.24,8.66,0.64,rain,09/29/2017 17:00,308.08,0,0.1575,0.26,rain,1012.56,Drizzle,15.5,09/29/2017 21:00,16.09,267,17.72
CYYZ,29/09/2017 22:00,14.1,0.86,7.63,0.65,partly-cloudy-day,09/29/2017 18:00,309.49,0,0.094,0.19,rain,1012.88,Mostly Cloudy,14.1,09/29/2017 22:00,16.09,211,18.6
CYYZ,29/09/2017 23:00,12.7,0.79,7.61,0.71,rain,09/29/2017 19:00,311.08,0,0.127,0.22,rain,1012.24,Drizzle,12.7,09/29/2017 23:00,15.1,19,20.13
CYYZ,30/09/2017 0:00,11.75,0.7,8.68,0.81,partly-cloudy-night,09/29/2017 20:00,306.06,0,0.1118,0.21,rain,1013.74,Mostly Cloudy,11.75,09/30/2017 00:00,15.02,330,22.77
CYYZ,30/09/2017 1:00,11.02,0.64,8.28,0.83,rain,09/29/2017 21:00,306.76,0,0.2362,0.35,rain,1016.16,Light Rain,11.02,09/30/2017 01:00,14.4,339,24.83
CYYZ,30/09/2017 2:00,10.29,0.64,7.84,0.85,rain,09/29/2017 22:00,307.43,0,0.3302,0.37,rain,1018.29,Light Rain,10.29,09/30/2017 02:00,16.01,356,27.65
CYYZ,30/09/2017 3:00,10.22,0.56,7.71,0.84,rain,09/29/2017 23:00,308.22,0,0.2946,0.33,rain,1019.81,Light Rain,10.22,09/30/2017 03:00,16.01,6,25.07
CYYZ,30/09/2017 4:00,6.86,0.54,6.96,0.82,rain,09/30/2017 00:00,309.11,0,0.2235,0.28,rain,1021.12,Drizzle,9.87,09/30/2017 04:00,16.09,4,24.06
CYYZ,30/09/2017 5:00,6.81,0.22,6.09,0.77,rain,09/30/2017 01:00,310.06,0,0.1651,0.25,rain,1022.23,Drizzle,9.99,09/30/2017 05:00,16.09,2,26.89
CYYZ,30/09/2017 6:00,10.19,0.66,6.17,0.76,partly-cloudy-night,09/30/2017 02:00,311.55,0,0.0991,0.17,rain,1023.08,Mostly Cloudy,10.19,09/30/2017 06:00,16.09,1,24.59
CYYZ,30/09/2017 7:00,10.08,0.62,6.61,0.79,partly-cloudy-night,09/30/2017 03:00,317.2,0,0.0203,0.06,rain,1023.58,Mostly Cloudy,10.08,09/30/2017 07:00,16.09,356,23.22
CYYZ,30/09/2017 8:00,6.97,0.63,5.87,0.76,partly-cloudy-night,09/30/2017 04:00,320.41,0,0.0076,0.03,rain,1024.35,Mostly Cloudy,9.86,09/30/2017 08:00,16.09,355,22.68
CYYZ,30/09/2017 9:00,6,0.62,5.24,0.79,partly-cloudy-night,09/30/2017 05:00,322.54,0,0.0025,0.02,rain,1025.04,Mostly Cloudy,8.64,09/30/2017 09:00,16.09,353,17.09
CYYZ,30/09/2017 10:00,4.97,0.13,4.62,0.78,clear-night,09/30/2017 06:00,323.52,0,0.0025,0.01,rain,1025.9,Clear,8.14,09/30/2017 10:00,16.09,352,20.71
CYYZ,30/09/2017 11:00,4.58,0.03,4.14,0.78,clear-night,09/30/2017 07:00,323.5,0,0.0305,0.06,rain,1026.88,Clear,7.77,09/30/2017 11:00,16.09,351,19.97
CYYZ,30/09/2017 12:00,4.63,0.03,4.07,0.77,clear-day,09/30/2017 08:00,322.13,0,0,0,rain,1027.74,Clear,7.77,09/30/2017 12:00,16.09,352,19.52
CYYZ,30/09/2017 13:00,5.37,0.03,4.37,0.78,clear-day,09/30/2017 09:00,318.49,0,0,0,rain,1028.33,Clear,8.01,09/30/2017 13:00,16.09,357,15.82
CYYZ,30/09/2017 14:00,10.34,0.03,4.77,0.68,clear-day,09/30/2017 10:00,313.46,0,0.0025,0.02,rain,1029.06,Clear,10.34,09/30/2017 14:00,16.09,3,15.58
CYYZ,30/09/2017 15:00,11.71,0.06,3.7,0.58,clear-day,09/30/2017 11:00,309.05,0,0.0025,0.02,rain,1029.61,Clear,11.71,09/30/2017 15:00,16.09,4,15.34
CYYZ,30/09/2017 16:00,12.59,0.24,3.28,0.53,clear-day,09/30/2017 12:00,305.84,0,0.033,0.05,rain,1030.08,Clear,12.59,09/30/2017 16:00,16.09,5,13.97
CYYZ,30/09/2017 17:00,13.52,0.22,3.04,0.49,clear-day,09/30/2017 13:00,303.18,0,0.0305,0.05,rain,1030.13,Clear,13.52,09/30/2017 17:00,16.09,10,11.75
CYYZ,30/09/2017 18:00,14.48,0.12,2.58,0.45,clear-day,09/30/2017 14:00,301.06,0,0,0,rain,1029.73,Clear,14.48,09/30/2017 18:00,15.77,11,10.7
CYYZ,30/09/2017 19:00,14.81,0.04,2.56,0.44,clear-day,09/30/2017 15:00,301.51,0,0.0051,0.02,rain,1029.4,Clear,14.81,09/30/2017 19:00,16.09,11,8.61
CYYZ,30/09/2017 20:00,14.83,0.04,2.87,0.45,clear-day,09/30/2017 16:00,299.9,0,0,0,rain,1028.95,Clear,14.83,09/30/2017 20:00,16.09,22,4.78
CYYZ,30/09/2017 21:00,14.49,0.03,2.96,0.46,clear-day,09/30/2017 17:00,298.63,0,0.0025,0.02,rain,1028.72,Clear,14.49,09/30/2017 21:00,16.09,31,3.54
CYYZ,30/09/2017 22:00,13.58,0.03,3.66,0.51,clear-day,09/30/2017 18:00,298,0,0.0025,0.02,rain,1028.68,Clear,13.58,09/30/2017 22:00,16.09,9,3.8
CYYZ,30/09/2017 23:00,12.53,0.02,3.8,0.55,clear-night,09/30/2017 19:00,297.71,0,0,0,rain,1029.06,Clear,12.53,09/30/2017 23:00,16.09,353,4.17
CYYZ,01/10/2017 0:00,11.55,0.02,4.11,0.6,clear-night,09/30/2017 20:00,293.21,0,0.0051,0.02,rain,1029.38,Clear,11.55,10/01/2017 0:00,16.09,346,3.15
CYYZ,01/10/2017 1:00,10.36,0,4.18,0.66,clear-night,09/30/2017 21:00,292.37,0,0,0,rain,1029.83,Clear,10.36,10/01/2017 1:00,16.09,356,3.69
CYYZ,01/10/2017 2:00,9.5,0,4.83,0.73,clear-night,09/30/2017 22:00,291.42,0,0.0229,0.04,rain,1029.96,Clear,9.5,10/01/2017 2:00,16.09,353,4.14
CYYZ,01/10/2017 3:00,9.2,0,4.34,0.72,clear-night,09/30/2017 23:00,290.5,0,0.033,0.05,rain,1029.93,Clear,9.2,10/01/2017 3:00,16.09,343,4.43
CYYZ,01/10/2017 4:00,9.02,0,4.33,0.72,clear-night,10/01/2017 0:00,289.67,0,0,0,rain,1030.02,Clear,9.02,10/01/2017 4:00,16.09,336,4.38
CYYZ,01/10/2017 5:00,8.05,0,4.17,0.77,clear-night,10/01/2017 1:00,288.91,0,0.033,0.05,rain,1029.82,Clear,8.05,10/01/2017 5:00,16.09,319,4.31
CYYZ,01/10/2017 6:00,7.7,0,3.94,0.77,clear-night,10/01/2017 2:00,288.21,0,0.0229,0.04,rain,1029.82,Clear,7.7,10/01/2017 6:00,16.09,322,4.35
CYYZ,01/10/2017 7:00,7.11,0,3.57,0.78,clear-night,10/01/2017 3:00,287.59,0,0.0076,0.02,rain,1029.51,Clear,7.11,10/01/2017 7:00,16.09,326,3.96
CYYZ,01/10/2017 8:00,5.88,0,3.35,0.84,clear-night,10/01/2017 4:00,287.02,0,0,0,rain,1029.43,Clear,5.88,10/01/2017 8:00,16.09,304,3.3
CYYZ,01/10/2017 9:00,5.77,0,3.42,0.85,clear-night,10/01/2017 5:00,286.54,0,0,0,rain,1029.62,Clear,5.77,10/01/2017 9:00,16.09,297,3.78
CYYZ,01/10/2017 10:00,5.26,0,3.23,0.87,clear-night,10/01/2017 6:00,284.39,0,0.0356,0.06,rain,1029.75,Clear,5.26,10/01/2017 10:00,16.09,290,3.73
CYYZ,01/10/2017 11:00,4.66,0.04,2.6,0.86,clear-night,10/01/2017 7:00,283.74,0,0.0025,0.02,rain,1029.63,Clear,4.66,10/01/2017 11:00,16.09,287,4.09
CYYZ,01/10/2017 12:00,5.12,0.09,3.09,0.87,clear-day,10/01/2017 8:00,282.98,0,0.0051,0.02,rain,1030.22,Clear,5.12,10/01/2017 12:00,16.09,293,3.89
CYYZ,01/10/2017 13:00,7.99,0.09,4.79,0.8,clear-day,10/01/2017 9:00,282.5,0,0.0229,0.04,rain,1030.52,Clear,7.99,10/01/2017 13:00,16.09,332,3.09
CYYZ,01/10/2017 14:00,12.38,0.03,5.78,0.64,clear-day,10/01/2017 10:00,282.22,0,0.0254,0.05,rain,1030.52,Clear,12.38,10/01/2017 14:00,16.09,209,3.15
CYYZ,01/10/2017 15:00,14.21,0.03,6.53,0.6,clear-day,10/01/2017 11:00,282.36,0,0.0102,0.03,rain,1030.44,Clear,14.21,10/01/2017 15:00,16.09,218,4.33
CYYZ,01/10/2017 16:00,15.28,0.03,6.07,0.54,clear-day,10/01/2017 12:00,282.75,0,0.0127,0.03,rain,1029.84,Clear,15.28,10/01/2017 16:00,16.09,221,4.22
