Partition_Key, Apparent_Temperature, Cloud_Cover, Dew_Point, Humidity, Icon, Local_Time, Ozone, Precip_Accumulation, Precip_Intensity, Precip_Probability, Precip_Type, Pressure, Summary, Temperature, UTC_Time, Visibility, Wind_Bearing, Wind_Speed
CYYZ,8.62,0.03,6.53,0.83,clear-night,10/02/2017 0:00,290.3,0,0.0025,0.02,rain,1027.06,Clear,9.19,10/02/2017 4:00,16.09,124,5.79
CYYZ,7.35,0.04,5.98,0.85,clear-night,10/02/2017 1:00,290.16,0,0,0,rain,1026.97,Clear,8.37,10/02/2017 5:00,16.09,123,6.95
CYYZ,7.16,0.03,5.92,0.86,clear-night,10/02/2017 2:00,290.34,0,0,0,rain,1027.13,Clear,8.2,10/02/2017 6:00,16.09,121,6.94
CYYZ,6.92,0.03,5.7,0.86,clear-night,10/02/2017 3:00,290.26,0,0,0,rain,1027.16,Clear,7.98,10/02/2017 7:00,16.09,113,6.87
CYYZ,6.47,0,6.55,0.93,clear-night,10/02/2017 4:00,290.15,0,0,0,rain,1027.01,Clear,7.62,10/02/2017 8:00,16.09,100,7.03
CYYZ,7.19,0.1,5.84,0.86,clear-night,10/02/2017 5:00,290,0,0,0,rain,1027.48,Clear,8.03,10/02/2017 9:00,16.09,83,6.08
CYYZ,6.69,0.16,6.02,0.89,clear-night,10/02/2017 6:00,289.88,0,0,0,rain,1027.89,Clear,7.78,10/02/2017 10:00,16.09,81,6.87
CYYZ,5.52,0.21,6.61,0.96,clear-night,10/02/2017 7:00,289.74,0,0,0,rain,1028.45,Clear,7.16,10/02/2017 11:00,16.09,77,8.74
CYYZ,7.17,0.15,6.69,0.88,clear-day,10/02/2017 8:00,288.84,0,0,0,rain,1029.01,Clear,8.62,10/02/2017 12:00,16.09,81,9.09
CYYZ,11.52,0.19,8.5,0.82,clear-day,10/02/2017 9:00,287.8,0,0,0,rain,1029.35,Clear,11.52,10/02/2017 13:00,16.09,89,10.01
CYYZ,15.23,0.04,10.19,0.72,clear-day,10/02/2017 10:00,286.53,0,0.0051,0.02,rain,1029.55,Clear,15.23,10/02/2017 14:00,16.09,99,11.14
CYYZ,16.65,0.06,9.66,0.63,clear-day,10/02/2017 11:00,285.57,0,0,0,rain,1030.14,Clear,16.65,10/02/2017 15:00,16.09,108,12.34
CYYZ,17.36,0.07,9.03,0.58,clear-day,10/02/2017 12:00,284.98,0,0,0,rain,1030.23,Clear,17.36,10/02/2017 16:00,16.09,110,12.68
CYYZ,18.13,0.04,9.2,0.56,clear-day,10/02/2017 13:00,284.56,0,0.0025,0.01,rain,1029.8,Clear,18.13,10/02/2017 17:00,16.09,109,13.5
CYYZ,18.52,0.03,9.28,0.55,clear-day,10/02/2017 14:00,283.65,0,0.0076,0.02,rain,1029.21,Clear,18.52,10/02/2017 18:00,16.09,105,13.84
CYYZ,18.68,0.03,9.45,0.55,clear-day,10/02/2017 15:00,283.83,0,0.0102,0.02,rain,1029.01,Clear,18.68,10/02/2017 19:00,16.09,102,14.29
CYYZ,18.81,0.06,10.12,0.57,clear-day,10/02/2017 16:00,284.24,0,0.0102,0.02,rain,1028.75,Clear,18.81,10/02/2017 20:00,16.09,92,15.02
CYYZ,18.04,0.11,9.64,0.58,clear-day,10/02/2017 17:00,284.84,0,0,0,rain,1028.67,Clear,18.04,10/02/2017 21:00,16.09,93,15.16
CYYZ,17.27,0.11,9.87,0.62,clear-day,10/02/2017 18:00,285.77,0,0,0,rain,1029.04,Clear,17.27,10/02/2017 22:00,16.09,95,15.1
CYYZ,16.04,0.06,10.02,0.67,clear-night,10/02/2017 19:00,286.81,0,0,0,rain,1029.13,Clear,16.04,10/02/2017 23:00,16.09,92,15.11
CYYZ,15.37,0.03,9.93,0.7,clear-night,10/02/2017 20:00,288.3,0,0,0,rain,1029.36,Clear,15.37,10/03/2017 0:00,16.09,93,13.9
CYYZ,15.09,0.03,9.92,0.71,clear-night,10/02/2017 21:00,288.17,0,0,0,rain,1029.6,Clear,15.09,10/03/2017 1:00,16.09,96,13.94
CYYZ,14.01,0.02,9.97,0.77,clear-night,10/02/2017 22:00,287.87,0,0,0,rain,1029.67,Clear,14.01,10/03/2017 2:00,16.09,101,14.48
CYYZ,13.58,0.03,10.34,0.81,clear-night,10/02/2017 23:00,287.34,0,0,0,rain,1029.64,Clear,13.58,10/03/2017 3:00,16.09,104,13.37
CYYZ,12.04,0.05,9.18,0.83,clear-night,10/03/2017 0:00,286.74,0,0,0,rain,1029.28,Clear,12.04,10/03/2017 4:00,16.09,112,12.63
CYYZ,12.26,0.03,10.01,0.86,clear-night,10/03/2017 1:00,285.93,0,0,0,rain,1029.2,Clear,12.26,10/03/2017 5:00,16.09,112,10.72
CYYZ,11.74,0.05,10.11,0.9,clear-night,10/03/2017 2:00,283.88,0,0,0,rain,1028.97,Clear,11.74,10/03/2017 6:00,16.09,115,8.96
CYYZ,10.93,0.06,8.92,0.87,clear-night,10/03/2017 3:00,282.79,0,0,0,rain,1029.07,Clear,10.93,10/03/2017 7:00,16.09,128,7.81
CYYZ,10.67,0.09,8.68,0.87,clear-night,10/03/2017 4:00,281.64,0,0.0051,0.01,rain,1029.26,Clear,10.67,10/03/2017 8:00,16.09,138,6.13
CYYZ,10.36,0.08,8.63,0.89,clear-night,10/03/2017 5:00,280.86,0,0.0025,0.02,rain,1029.49,Clear,10.36,10/03/2017 9:00,16.09,165,6.31
CYYZ,10.13,0.08,8.42,0.89,clear-night,10/03/2017 6:00,280.6,0,0.0025,0.02,rain,1030.12,Clear,10.13,10/03/2017 10:00,16.09,175,6.69
CYYZ,10.02,0.13,8.44,0.9,clear-night,10/03/2017 7:00,280.55,0,0.0025,0.02,rain,1030.49,Clear,10.02,10/03/2017 11:00,16.09,183,6.98
CYYZ,10.19,0.14,8.64,0.9,clear-day,10/03/2017 8:00,279.73,0,0.0025,0.02,rain,1031.09,Clear,10.19,10/03/2017 12:00,16.09,188,7.27
CYYZ,12.77,0.09,11.08,0.9,clear-day,10/03/2017 9:00,279.33,0,0.0051,0.02,rain,1031.4,Clear,12.77,10/03/2017 13:00,16.09,195,7.6
CYYZ,14.45,0.16,11.35,0.82,clear-day,10/03/2017 10:00,278.91,0,0.0051,0.02,rain,1031.36,Clear,14.45,10/03/2017 14:00,16.09,205,9.24
CYYZ,16.31,0.16,11.05,0.71,clear-day,10/03/2017 11:00,278.51,0,0.0076,0.02,rain,1030.53,Clear,16.31,10/03/2017 15:00,16.09,192,11.12
CYYZ,18.62,0.2,11.23,0.62,clear-day,10/03/2017 12:00,278.11,0,0.0051,0.02,rain,1029.74,Clear,18.62,10/03/2017 16:00,16.09,191,12.73
CYYZ,20.1,0.22,12.03,0.6,clear-day,10/03/2017 13:00,277.73,0,0,0,rain,1029.53,Clear,20.1,10/03/2017 17:00,16.09,182,12.87
CYYZ,21.42,0.32,12.71,0.58,partly-cloudy-day,10/03/2017 14:00,279.09,0,0,0,rain,1029.07,Partly Cloudy,21.42,10/03/2017 18:00,16.09,176,13.12
CYYZ,22.63,0.03,12.91,0.54,clear-day,10/03/2017 15:00,278.55,0,0,0,rain,1029.15,Clear,22.63,10/03/2017 19:00,16.09,167,10.3
CYYZ,22.34,0.03,13.14,0.56,clear-day,10/03/2017 16:00,278.01,0,0,0,rain,1028.65,Clear,22.34,10/03/2017 20:00,16.09,163,10.38
CYYZ,21.43,0.03,13.83,0.62,clear-day,10/03/2017 17:00,277.72,0,0,0,rain,1028.23,Clear,21.43,10/03/2017 21:00,16.09,156,11.31
CYYZ,20.78,0.05,13.74,0.64,clear-day,10/03/2017 18:00,277.72,0,0,0,rain,1027.93,Clear,20.78,10/03/2017 22:00,16.09,167,11.73
CYYZ,20.16,0.05,12.44,0.61,clear-night,10/03/2017 19:00,277.99,0,0.0025,0.01,rain,1027.69,Clear,20.16,10/03/2017 23:00,16.09,182,11.6
CYYZ,19.23,0.05,12.33,0.64,clear-night,10/03/2017 20:00,278.8,0,0.0051,0.01,rain,1027.79,Clear,19.23,10/04/2017 0:00,16.09,195,9.41
CYYZ,18.73,0.03,12.23,0.66,clear-night,10/03/2017 21:00,278.79,0,0.0025,0.01,rain,1027.85,Clear,18.73,10/04/2017 1:00,16.09,195,9.54
CYYZ,18.26,0.11,12.57,0.69,clear-night,10/03/2017 22:00,278.81,0,0,0,rain,1027.54,Clear,18.26,10/04/2017 2:00,16.09,197,9.14
CYYZ,17.83,0.11,12.51,0.71,clear-night,10/03/2017 23:00,279.15,0,0,0,rain,1027.26,Clear,17.83,10/04/2017 3:00,16.09,189,8.34
CYYZ,17.23,0.22,12.98,0.76,clear-night,10/04/2017 0:00,280.1,0,0,0,rain,1026.87,Clear,17.23,10/04/2017 4:00,15.61,195,9.82
CYYZ,18.37,0.68,13.03,0.71,partly-cloudy-night,10/04/2017 1:00,281.3,0,0,0,rain,1026.38,Mostly Cloudy,18.37,10/04/2017 5:00,14.56,203,11.84
CYYZ,18.65,0.65,13.07,0.7,partly-cloudy-night,10/04/2017 2:00,282.19,0,0.0025,0.01,rain,1026.16,Mostly Cloudy,18.65,10/04/2017 6:00,16.03,208,15.19
CYYZ,18.87,0.65,13.03,0.69,partly-cloudy-night,10/04/2017 3:00,282.72,0,0.0152,0.03,rain,1025.8,Mostly Cloudy,18.87,10/04/2017 7:00,16.03,212,15.13
CYYZ,19,0.7,13.54,0.71,partly-cloudy-night,10/04/2017 4:00,283.06,0,0.0737,0.08,rain,1025.08,Mostly Cloudy,19,10/04/2017 8:00,16.03,212,15.56
CYYZ,19.19,0.91,13.76,0.71,partly-cloudy-night,10/04/2017 5:00,283.15,0,0.1245,0.12,rain,1024.7,Mostly Cloudy,19.19,10/04/2017 9:00,16.09,209,17.57
CYYZ,19.4,0.94,14.27,0.72,rain,10/04/2017 6:00,282.94,0,0.127,0.14,rain,1024.23,Drizzle,19.4,10/04/2017 10:00,16.09,213,16.46
CYYZ,19.68,0.94,14.52,0.72,cloudy,10/04/2017 7:00,282.56,0,0.0991,0.14,rain,1024.08,Overcast,19.68,10/04/2017 11:00,16.09,218,17.88
CYYZ,20.13,0.73,15.04,0.73,partly-cloudy-day,10/04/2017 8:00,280.09,0,0.0025,0.01,rain,1023.68,Mostly Cloudy,20.13,10/04/2017 12:00,15.77,223,16.77
CYYZ,20.67,0.62,15.86,0.74,partly-cloudy-day,10/04/2017 9:00,279.88,0,0.0102,0.02,rain,1023.33,Mostly Cloudy,20.61,10/04/2017 13:00,16.09,221,16.61
CYYZ,21.64,0.56,16.93,0.75,partly-cloudy-day,10/04/2017 10:00,279.78,0,0.0559,0.05,rain,1022.87,Partly Cloudy,21.47,10/04/2017 14:00,16.09,222,17.49
CYYZ,22.64,0.24,17.57,0.74,clear-day,10/04/2017 11:00,279.79,0,0.1219,0.05,rain,1022.34,Clear,22.41,10/04/2017 15:00,16.09,222,17.78
CYYZ,24.34,0.23,18.08,0.69,rain,10/04/2017 12:00,279.69,0,0.1854,0.08,rain,1021.26,Drizzle,24.07,10/04/2017 16:00,16.09,226,20.17
CYYZ,23.58,0.25,18.45,0.74,rain,10/04/2017 13:00,279.75,0,0.2464,0.09,rain,1020.64,Light Rain,23.26,10/04/2017 17:00,15.37,227,19.39
CYYZ,22.82,0.68,19.57,0.84,rain,10/04/2017 14:00,282,0,0.2896,0.24,rain,1019.65,Light Rain,22.33,10/04/2017 18:00,16.09,235,18.75
CYYZ,23.11,0.68,19.22,0.81,rain,10/04/2017 15:00,282.35,0,0.1702,0.2,rain,1018.94,Drizzle,22.67,10/04/2017 19:00,16.09,243,18.72
CYYZ,22.84,0.77,19.05,0.81,rain,10/04/2017 16:00,282.59,0,0.8661,0.19,rain,1018.07,Light Rain,22.42,10/04/2017 20:00,16.09,261,19.41
CYYZ,23.3,0.57,19.25,0.8,rain,10/04/2017 17:00,282.7,0,1.237,0.26,rain,1017.72,Light Rain,22.87,10/04/2017 21:00,16.09,233,19.65
CYYZ,23.62,0.45,19.41,0.79,rain,10/04/2017 18:00,282.37,0,0.8738,0.24,rain,1017.32,Light Rain,23.17,10/04/2017 22:00,16.09,200,15.13
