Partition_Key, Row_Key, Apparent_Temperature, Cloud_Cover, Dew_Point, Humidity, Icon, Local_Time, Ozone, Precip_Accumulation, Precip_Intensity, Precip_Probability, Precip_Type, Pressure, Summary, Temperature, UTC_Time, Visibility, Wind_Bearing, Wind_Speed
CYYZ,12/12/2017 5:00,-4.59,0.46,-4.09,0.88,fog,12/12/2017 0:00,356.68,0.081,0.0787,0.3,snow,1005.91,Foggy,-2.39,12/12/2017 5:00,2.78,81,5.63
CYYZ,12/12/2017 6:00,-2.7,0.84,-4.22,0.89,fog,12/12/2017 1:00,360.28,0.119,0.1118,0.3,snow,1004.41,Foggy,-2.7,12/12/2017 6:00,2.41,55,4.28
CYYZ,12/12/2017 7:00,-2.42,0.84,-3.83,0.9,fog,12/12/2017 2:00,361.55,0.152,0.1473,0.33,snow,1003.01,Foggy,-2.42,12/12/2017 7:00,2.91,59,4.78
CYYZ,12/12/2017 8:00,-4.21,0.84,-3.39,0.91,snow,12/12/2017 3:00,362.07,0.18,0.1778,0.33,snow,1002.12,Light Snow,-2.16,12/12/2017 8:00,2.09,50,5.38
CYYZ,12/12/2017 9:00,-3.75,0.84,-3.34,0.9,fog,12/12/2017 4:00,363.12,0.168,0.1727,0.3,snow,1001.08,Foggy,-1.94,12/12/2017 9:00,2.45,49,4.96
CYYZ,12/12/2017 10:00,-2.21,0.7,-3.44,0.91,fog,12/12/2017 5:00,365.27,0.168,0.1651,0.3,snow,1000.48,Foggy,-2.21,12/12/2017 10:00,3.15,45,3.23
CYYZ,12/12/2017 11:00,-2.38,0.41,-3.77,0.9,partly-cloudy-night,12/12/2017 6:00,367.86,0.152,0.1473,0.3,snow,999.95,Partly Cloudy,-2.38,12/12/2017 11:00,4.92,33,3.41
CYYZ,12/12/2017 12:00,-2.42,0.84,-3.91,0.89,partly-cloudy-night,12/12/2017 7:00,373.78,0.091,0.0889,0.3,snow,999.93,Mostly Cloudy,-2.42,12/12/2017 12:00,9.22,10,2.4
CYYZ,12/12/2017 13:00,-2.45,0.91,-3.66,0.91,fog,12/12/2017 8:00,376.73,0.104,0.1016,0.28,snow,1000.22,Foggy,-2.45,12/12/2017 13:00,2.83,298,4.2
CYYZ,12/12/2017 14:00,-5.71,0.81,-4.41,0.85,partly-cloudy-day,12/12/2017 9:00,379.65,0.122,0.1194,0.27,snow,1000.24,Mostly Cloudy,-2.3,12/12/2017 14:00,9.03,286,8.87
CYYZ,12/12/2017 15:00,-5.19,0.9,-5.5,0.8,partly-cloudy-day,12/12/2017 10:00,381.88,0.079,0.0762,0.26,snow,1000.37,Mostly Cloudy,-2.47,12/12/2017 15:00,11.28,284,6.86
CYYZ,12/12/2017 16:00,-6.76,0.82,-6.8,0.75,partly-cloudy-day,12/12/2017 11:00,382.99,0.081,0.0737,0.23,snow,1000.85,Mostly Cloudy,-3.05,12/12/2017 16:00,12.09,300,9.38
CYYZ,12/12/2017 17:00,-7.39,0.24,-8.76,0.67,clear-day,12/12/2017 12:00,383.47,0.018,0.0152,0.06,snow,1001.15,Clear,-3.53,12/12/2017 17:00,15.4,288,9.59
CYYZ,12/12/2017 18:00,-8.17,0.28,-10.18,0.62,partly-cloudy-day,12/12/2017 13:00,387.33,0,0.0051,0.03,snow,1001.65,Partly Cloudy,-3.99,12/12/2017 18:00,16.09,304,10.33
CYYZ,12/12/2017 19:00,-8.19,0.68,-11.56,0.58,partly-cloudy-day,12/12/2017 14:00,390.42,0.025,0.0203,0.12,snow,1002.23,Mostly Cloudy,-4.53,12/12/2017 19:00,16.09,288,8.43
