"","Apparent_Temperature","Cloud_Cover","Dew_Point","Humidity","Pressure","Temperature","Visibility","Wind_Speed","Day_of_week","Hr_of_day","Demand"
"1",10.89,0.04,5.29,0.68,1018.83,10.89,16.09,7.92,"wkday","00",12090
"2",10.28,0.04,5.49,0.72,1018.84,10.28,16.09,7.34,"wkday","01",11765
"3",9.16,0.03,5.14,0.73,1018.92,9.8,16.09,6.36,"wkday","02",11513
"4",9.38,0.03,4.66,0.71,1018.76,9.71,16.09,5.18,"wkday","03",11491
"5",8.96,0.03,4.4,0.73,1018.3,8.96,16.09,4.39,"wkday","04",11920
"6",9.05,0.14,4.1,0.71,1018.06,9.05,16.09,4.33,"wkday","05",13158
"7",8.72,0.63,4.32,0.72,1018.05,9.12,16.09,5.17,"wkday","06",14464
"8",9.07,0.84,4.02,0.68,1017.61,9.64,16.09,6.02,"wkday","07",14684
"9",10.63,0.61,5.82,0.72,1017.53,10.63,16.09,8.82,"wkday","08",14790
"10",12.43,0.56,7.13,0.7,1017.31,12.43,16.09,11.22,"wkday","09",14816
"11",12.97,0.32,8.87,0.76,1016.88,12.97,15.95,13.58,"wkday","10",14967
"12",13.31,0.32,9.53,0.78,1015.88,13.31,15.48,15.47,"wkday","11",14849
"13",13.34,0.66,11.07,0.86,1014.93,13.34,9.53,16.62,"wkday","12",14897
"14",14.89,0.61,12.13,0.84,1014.12,14.89,15.9,15.06,"wkday","13",14829
"15",16.67,0.62,12.33,0.76,1012.79,16.67,14.32,11.96,"wkday","14",14583
"16",16.22,0.29,11.49,0.74,1012.15,16.22,16.09,14.13,"wkday","15",14846
"17",16.83,0.17,10.39,0.66,1011.87,16.83,16.09,16.54,"wkday","16",14922
"18",15.5,0.24,8.66,0.64,1012.56,15.5,16.09,17.72,"wkday","17",14975
"19",14.1,0.86,7.63,0.65,1012.88,14.1,16.09,18.6,"wkday","18",15549
"20",12.7,0.79,7.61,0.71,1012.24,12.7,15.1,20.13,"wkday","19",15373
"21",11.75,0.7,8.68,0.81,1013.74,11.75,15.02,22.77,"wkday","20",14803
"22",11.02,0.64,8.28,0.83,1016.16,11.02,14.4,24.83,"wkday","21",13923
"23",10.29,0.64,7.84,0.85,1018.29,10.29,16.01,27.65,"wkday","22",12977
"24",10.22,0.56,7.71,0.84,1019.81,10.22,16.01,25.07,"wkday","23",12095
"25",6.86,0.54,6.96,0.82,1021.12,9.87,16.09,24.06,"wknd","00",11640
"26",6.81,0.22,6.09,0.77,1022.23,9.99,16.09,26.89,"wknd","01",11382
"27",10.19,0.66,6.17,0.76,1023.08,10.19,16.09,24.59,"wknd","02",11232
"28",10.08,0.62,6.61,0.79,1023.58,10.08,16.09,23.22,"wknd","03",11175
"29",6.97,0.63,5.87,0.76,1024.35,9.86,16.09,22.68,"wknd","04",11345
"30",6,0.62,5.24,0.79,1025.04,8.64,16.09,17.09,"wknd","05",11778
"31",4.97,0.13,4.62,0.78,1025.9,8.14,16.09,20.71,"wknd","06",12483
"32",4.58,0.03,4.14,0.78,1026.88,7.77,16.09,19.97,"wknd","07",13104
"33",4.63,0.03,4.07,0.77,1027.74,7.77,16.09,19.52,"wknd","08",13197
"34",5.37,0.03,4.37,0.78,1028.33,8.01,16.09,15.82,"wknd","09",12863
"35",10.34,0.03,4.77,0.68,1029.06,10.34,16.09,15.58,"wknd","10",12798
"36",11.71,0.06,3.7,0.58,1029.61,11.71,16.09,15.34,"wknd","11",13123
"37",12.59,0.24,3.28,0.53,1030.08,12.59,16.09,13.97,"wknd","12",12911
"38",13.52,0.22,3.04,0.49,1030.13,13.52,16.09,11.75,"wknd","13",12678
"39",14.48,0.12,2.58,0.45,1029.73,14.48,15.77,10.7,"wknd","14",12614
"40",14.81,0.04,2.56,0.44,1029.4,14.81,16.09,8.61,"wknd","15",12959
"41",14.83,0.04,2.87,0.45,1028.95,14.83,16.09,4.78,"wknd","16",13591
"42",14.49,0.03,2.96,0.46,1028.72,14.49,16.09,3.54,"wknd","17",14115
"43",13.58,0.03,3.66,0.51,1028.68,13.58,16.09,3.8,"wknd","18",14696
"44",12.53,0.02,3.8,0.55,1029.06,12.53,16.09,4.17,"wknd","19",14506
"45",11.55,0.02,4.11,0.6,1029.38,11.55,16.09,3.15,"wknd","20",13920
"46",10.36,0,4.18,0.66,1029.83,10.36,16.09,3.69,"wknd","21",13258
"47",9.5,0,4.83,0.73,1029.96,9.5,16.09,4.14,"wknd","22",12437
"48",9.2,0,4.34,0.72,1029.93,9.2,16.09,4.43,"wknd","23",11796
"49",9.02,0,4.33,0.72,1030.02,9.02,16.09,4.38,"wknd","00",11415
"50",8.05,0,4.17,0.77,1029.82,8.05,16.09,4.31,"wknd","01",11173
"51",7.7,0,3.94,0.77,1029.82,7.7,16.09,4.35,"wknd","02",11015
"52",7.11,0,3.57,0.78,1029.51,7.11,16.09,3.96,"wknd","03",11002
"53",5.88,0,3.35,0.84,1029.43,5.88,16.09,3.3,"wknd","04",11140
"54",5.77,0,3.42,0.85,1029.62,5.77,16.09,3.78,"wknd","05",11539
"55",5.26,0,3.23,0.87,1029.75,5.26,16.09,3.73,"wknd","06",11906
"56",4.66,0.04,2.6,0.86,1029.63,4.66,16.09,4.09,"wknd","07",12283
"57",5.12,0.09,3.09,0.87,1030.22,5.12,16.09,3.89,"wknd","08",12311
"58",7.99,0.09,4.79,0.8,1030.52,7.99,16.09,3.09,"wknd","09",12396
"59",12.38,0.03,5.78,0.64,1030.52,12.38,16.09,3.15,"wknd","10",12424
"60",14.21,0.03,6.53,0.6,1030.44,14.21,16.09,4.33,"wknd","11",12464
"61",15.28,0.03,6.07,0.54,1029.84,15.28,16.09,4.22,"wknd","12",12442
"62",15.87,0.03,5.97,0.52,1029.31,15.87,16.09,4.83,"wknd","13",12458
"63",16.44,0.01,5.88,0.5,1028.52,16.44,15.61,4.86,"wknd","14",12550
"64",16.98,0.03,5.58,0.47,1027.66,16.98,15.61,4.6,"wknd","15",13168
"65",16.99,0.13,5.38,0.46,1026.96,16.99,16.09,4.59,"wknd","16",13977
"66",16.47,0.13,5.82,0.49,1026.44,16.47,16.09,4.52,"wknd","17",14645
"67",16.07,0.06,6.27,0.52,1026.2,16.07,16.09,4.83,"wknd","18",15116
"68",14.87,0.03,6.85,0.59,1026.15,14.87,16.09,4.86,"wknd","19",14727
"69",13.11,0.03,7.14,0.67,1026.21,13.11,16.09,4.72,"wknd","20",14232
"70",12.61,0.03,7.14,0.69,1026.6,12.61,16.09,4.76,"wknd","21",13410
"71",10.66,0,6.94,0.78,1026.66,10.66,16.09,5.39,"wknd","22",12513
"72",9.11,0.04,6.12,0.79,1026.65,9.61,16.09,5.75,"wknd","23",11943
"73",8.62,0.03,6.53,0.83,1027.06,9.19,16.09,5.79,"wkday","00",11524
"74",7.35,0.04,5.98,0.85,1026.97,8.37,16.09,6.95,"wkday","01",11388
"75",7.16,0.03,5.92,0.86,1027.13,8.2,16.09,6.94,"wkday","02",11274
"76",6.92,0.03,5.7,0.86,1027.16,7.98,16.09,6.87,"wkday","03",11432
"77",6.47,0,6.55,0.93,1027.01,7.62,16.09,7.03,"wkday","04",11972
"78",7.19,0.1,5.84,0.86,1027.48,8.03,16.09,6.08,"wkday","05",13426
"79",6.69,0.16,6.02,0.89,1027.89,7.78,16.09,6.87,"wkday","06",14727
"80",5.52,0.21,6.61,0.96,1028.45,7.16,16.09,8.74,"wkday","07",14601
"81",7.17,0.15,6.69,0.88,1029.01,8.62,16.09,9.09,"wkday","08",14500
"82",11.52,0.19,8.5,0.82,1029.35,11.52,16.09,10.01,"wkday","09",14560
"83",15.23,0.04,10.19,0.72,1029.55,15.23,16.09,11.14,"wkday","10",14471
"84",16.65,0.06,9.66,0.63,1030.14,16.65,16.09,12.34,"wkday","11",14455
"85",17.36,0.07,9.03,0.58,1030.23,17.36,16.09,12.68,"wkday","12",14488
"86",18.13,0.04,9.2,0.56,1029.8,18.13,16.09,13.5,"wkday","13",14605
"87",18.52,0.03,9.28,0.55,1029.21,18.52,16.09,13.84,"wkday","14",14834
"88",18.68,0.03,9.45,0.55,1029.01,18.68,16.09,14.29,"wkday","15",15306
"89",18.81,0.06,10.12,0.57,1028.75,18.81,16.09,15.02,"wkday","16",15915
"90",18.04,0.11,9.64,0.58,1028.67,18.04,16.09,15.16,"wkday","17",16240
